antal_sålda,gata,id
0,"Slutpriser bostäder - Norrlandsgatan, Stockholms kommun",475247
0,"Slutpriser bostäder - Jakobsbergsgatan, Stockholms kommun",475248
5,"Slutpriser bostäder - Lästmakargatan, Stockholms kommun",475249
0,"Slutpriser bostäder - Malmskillnadsgränd, Stockholms kommun",475250
0,"Slutpriser bostäder - Mellangatan, Stockholms kommun",475251
0,"Slutpriser bostäder - Birger Jarls Passage, Stockholms kommun",475252
592,"Slutpriser bostäder - Birger Jarlsgatan, Stockholms kommun",475253
0,"Slutpriser bostäder - Stureplan, Stockholms kommun",475254
0,"Slutpriser bostäder - Biblioteksgatan, Stockholms kommun",475255
0,"Slutpriser bostäder - Hamngatan, Stockholms kommun",475256
0,"Slutpriser bostäder - Norrmalmstorg, Stockholms kommun",475257
0,"Slutpriser bostäder - Smålandsgatan, Stockholms kommun",475258
0,"Slutpriser bostäder - Arsenalsgatan, Stockholms kommun",475259
0,"Slutpriser bostäder - Berzelii Park, Stockholms kommun",475260
0,"Slutpriser bostäder - Grevgränd, Stockholms kommun",475261
0,"Slutpriser bostäder - Jussi Björlings Allé, Stockholms kommun",475262
0,"Slutpriser bostäder - Karl XII:s torg, Stockholms kommun",475263
0,"Slutpriser bostäder - Kungsträdgården, Stockholms kommun",475264
0,"Slutpriser bostäder - Kungsträdgårdsgatan, Stockholms kommun",475265
0,"Slutpriser bostäder - Nybrohamnen, Stockholms kommun",475266
0,"Slutpriser bostäder - Nybropaviljongen, Stockholms kommun",475267
0,"Slutpriser bostäder - Nybroplan, Stockholms kommun",475268
0,"Slutpriser bostäder - Näckströmsgatan, Stockholms kommun",475269
0,"Slutpriser bostäder - Wahrendorffsgatan, Stockholms kommun",475270
0,"Slutpriser bostäder - Blasieholmsgatan, Stockholms kommun",475271
0,"Slutpriser bostäder - Blasieholmstorg, Stockholms kommun",475272
0,"Slutpriser bostäder - Hovslagargatan, Stockholms kommun",475273
0,"Slutpriser bostäder - Museikajen, Stockholms kommun",475274
0,"Slutpriser bostäder - Nybrokajen, Stockholms kommun",475275
0,"Slutpriser bostäder - Raoul Wallenbergs torg, Stockholms kommun",475276
0,"Slutpriser bostäder - Stallgatan, Stockholms kommun",475277
0,"Slutpriser bostäder - Strömkajen, Stockholms kommun",475278
0,"Slutpriser bostäder - Södra Blasieholmshamnen, Stockholms kommun",475279
0,"Slutpriser bostäder - Teatergatan, Stockholms kommun",475280
0,"Slutpriser bostäder - Våghusgränd, Stockholms kommun",475281
0,"Slutpriser bostäder - Amiralitetsbacken, Stockholms kommun",475282
0,"Slutpriser bostäder - Amiralitetshuset, Stockholms kommun",475283
0,"Slutpriser bostäder - Amiralitetsparken, Stockholms kommun",475284
0,"Slutpriser bostäder - Amiralsvägen, Stockholms kommun",475285
0,"Slutpriser bostäder - Batteriparken, Stockholms kommun",475286
0,"Slutpriser bostäder - Exercisplan, Stockholms kommun",475287
0,"Slutpriser bostäder - Flaggmansvägen, Stockholms kommun",475288
0,"Slutpriser bostäder - Holmamiralens torg, Stockholms kommun",475289
0,"Slutpriser bostäder - Holmamiralens väg, Stockholms kommun",475290
0,"Slutpriser bostäder - Kastellbacken, Stockholms kommun",475291
0,"Slutpriser bostäder - Kastellholmen, Stockholms kommun",475292
0,"Slutpriser bostäder - Kastellholmskajen, Stockholms kommun",475293
0,"Slutpriser bostäder - Kyrkslingan, Stockholms kommun",475294
0,"Slutpriser bostäder - Långa Raden, Stockholms kommun",475295
0,"Slutpriser bostäder - Slupskjulsvägen, Stockholms kommun",475296
0,"Slutpriser bostäder - Svensksundsvägen, Stockholms kommun",475297
0,"Slutpriser bostäder - Södra Brobänken, Stockholms kommun",475298
0,"Slutpriser bostäder - Tyghusplan, Stockholms kommun",475299
0,"Slutpriser bostäder - Örlogsvägen, Stockholms kommun",475300
0,"Slutpriser bostäder - Beridarbansgatan, Stockholms kommun",475301
0,"Slutpriser bostäder - Beridarebanan, Stockholms kommun",475302
0,"Slutpriser bostäder - Brunkebergsterrassen, Stockholms kommun",475303
0,"Slutpriser bostäder - Brunkebergstorg, Stockholms kommun",475304
0,"Slutpriser bostäder - Malmtorgsgatan, Stockholms kommun",475305
0,"Slutpriser bostäder - Smedjegången, Stockholms kommun",475306
0,"Slutpriser bostäder - Akademigränd, Stockholms kommun",475307
0,"Slutpriser bostäder - Brunkebergsfaret, Stockholms kommun",475308
0,"Slutpriser bostäder - Brunkebergsgatan, Stockholms kommun",475309
0,"Slutpriser bostäder - Fredsgatan, Stockholms kommun",475310
0,"Slutpriser bostäder - Gustav Adolfs torg, Stockholms kommun",475311
22,"Slutpriser bostäder - Herkulesgatan, Stockholms kommun",475312
0,"Slutpriser bostäder - Jakobs torg, Stockholms kommun",475313
0,"Slutpriser bostäder - Jakobsgatan, Stockholms kommun",475314
0,"Slutpriser bostäder - Karduansmakargatan, Stockholms kommun",475315
0,"Slutpriser bostäder - Klara Mälarstrand, Stockholms kommun",475316
0,"Slutpriser bostäder - Klara Södra Kyrkogata, Stockholms kommun",475317
22,"Slutpriser bostäder - Klara Tvärgränd, Stockholms kommun",475318
8,"Slutpriser bostäder - Klara Östra Kyrkogata, Stockholms kommun",475319
0,"Slutpriser bostäder - Klarafaret, Stockholms kommun",475320
0,"Slutpriser bostäder - Nils Ferlins torg, Stockholms kommun",475321
0,"Slutpriser bostäder - Rosenbad, Stockholms kommun",475322
0,"Slutpriser bostäder - Rödbodgatan, Stockholms kommun",475323
0,"Slutpriser bostäder - Rödbodtorget, Stockholms kommun",475324
0,"Slutpriser bostäder - Strömgatan, Stockholms kommun",475325
0,"Slutpriser bostäder - Tegelbacken, Stockholms kommun",475326
0,"Slutpriser bostäder - Tysta Marigången, Stockholms kommun",475327
19,"Slutpriser bostäder - Vattugatan, Stockholms kommun",475328
0,"Slutpriser bostäder - Gallerian, Stockholms kommun",475329
0,"Slutpriser bostäder - Galleriatorget, Stockholms kommun",475330
0,"Slutpriser bostäder - Kocksgränd, Stockholms kommun",475331
0,"Slutpriser bostäder - Kokstorget, Stockholms kommun",475332
0,"Slutpriser bostäder - Lantmäteribacken, Stockholms kommun",475333
0,"Slutpriser bostäder - Västra Trädgårdsgatan, Stockholms kommun",475334
0,"Slutpriser bostäder - Grytgjutargången, Stockholms kommun",475335
0,"Slutpriser bostäder - Hötorget, Stockholms kommun",475336
0,"Slutpriser bostäder - Hötorgsgången, Stockholms kommun",475337
0,"Slutpriser bostäder - Hötorgshallen, Stockholms kommun",475338
0,"Slutpriser bostäder - Oxtorget, Stockholms kommun",475339
0,"Slutpriser bostäder - Oxtorgsgatan, Stockholms kommun",475340
0,"Slutpriser bostäder - Oxtorgsgränd, Stockholms kommun",475341
0,"Slutpriser bostäder - Sergelarkaden, Stockholms kommun",475342
0,"Slutpriser bostäder - Sergelgatan, Stockholms kommun",475343
0,"Slutpriser bostäder - Sergelgången, Stockholms kommun",475344
0,"Slutpriser bostäder - Sergels torg, Stockholms kommun",475345
0,"Slutpriser bostäder - Slöjdgatan, Stockholms kommun",475346
2,"Slutpriser bostäder - Saltmätargatan, Stockholms kommun",475347
9,"Slutpriser bostäder - Tegnérlunden, Stockholms kommun",475348
0,"Slutpriser bostäder - Blekholmsgatan, Stockholms kommun",475349
34,"Slutpriser bostäder - Blekholmsterrassen, Stockholms kommun",475350
0,"Slutpriser bostäder - Blekholmstorget, Stockholms kommun",475351
0,"Slutpriser bostäder - Klara Strand, Stockholms kommun",475352
0,"Slutpriser bostäder - Klarabergsviadukten, Stockholms kommun",475353
0,"Slutpriser bostäder - Klaratorget, Stockholms kommun",475354
0,"Slutpriser bostäder - Nils Ericsons plan, Stockholms kommun",475355
0,"Slutpriser bostäder - Terminalslingan, Stockholms kommun",475356
0,"Slutpriser bostäder - Västra Järnvägsgatan, Stockholms kommun",475357
66,"Slutpriser bostäder - Nordenflychtsvägen, Stockholms kommun",475358
97,"Slutpriser bostäder - Pär Lagerkvists gata, Stockholms kommun",475359
17,"Slutpriser bostäder - Eyvind Johnsons gata, Stockholms kommun",475360
135,"Slutpriser bostäder - Franzéngatan, Stockholms kommun",475361
88,"Slutpriser bostäder - Harry Martinsons gata, Stockholms kommun",475362
188,"Slutpriser bostäder - Hornsbergs Strand, Stockholms kommun",475363
0,"Slutpriser bostäder - Hornsbergsvägen, Stockholms kommun",475364
295,"Slutpriser bostäder - Lindhagensgatan, Stockholms kommun",475365
0,"Slutpriser bostäder - Moa Martinsons torg, Stockholms kommun",475366
0,"Slutpriser bostäder - Mariedalsvägen, Stockholms kommun",475367
377,"Slutpriser bostäder - Sankt Göransgatan, Stockholms kommun",475368
